fingerprint,time,song
10508296,89, Never_Really_Change
6295561,49, Never_Really_Change
6296585,93, Never_Really_Change
6297609,97, Never_Really_Change
6298633,97, Never_Really_Change
6300681,58, cross_pollination
6303753,20, cross_pollination
6304777,69, The_last_ones
6305801,68, The_last_ones
6307849,68, The_last_ones
6308873,69, The_last_ones
6309897,69, The_last_ones
6310921,83, The_last_ones
6311945,113, Night_Owl
6312969,14, The_last_ones
6313993,55, The_last_ones
7341065,28, cross_pollination
7344137,110, The_last_ones
7345161,96, cross_pollination
7346185,83, Never_Really_Change
7347209,97, Never_Really_Change
7349257,99, cross_pollination
7351305,97, Never_Really_Change
7352329,97, Never_Really_Change
7357449,68, The_last_ones
5244944,91, The_last_ones
5246992,91, The_last_ones
5248016,91, The_last_ones
5249040,91, The_last_ones
5252112,91, The_last_ones
5253136,91, The_last_ones
5254160,92, The_last_ones
5255184,92, The_last_ones
5256208,68, Night_Owl
5257232,96, Night_Owl
5259280,49, Never_Really_Change
5260304,110, The_last_ones
5261328,109, cross_pollination
5262352,91, The_last_ones
5263376,95, Night_Owl
5264400,91, The_last_ones
5265424,104, Never_Really_Change
6292496,104, Never_Really_Change
6295568,67, Never_Really_Change
6296592,54, Night_Owl
6297616,96, Night_Owl
6298640,103, Never_Really_Change
6300688,104, Never_Really_Change
6302736,91, The_last_ones
6303760,91, The_last_ones
6308880,92, The_last_ones
9438224,74, The_last_ones
9446416,74, The_last_ones
9453584,73, cross_pollination
9459728,73, The_last_ones
4195331,123, cross_pollination
4203523,123, cross_pollination
4210691,69, The_last_ones
4216835,3, Night_Owl
4195332,112, Never_Really_Change
4203524,93, Never_Really_Change
4210692,69, The_last_ones
4216836,3, Night_Owl
4195333,89, Never_Really_Change
4203525,89, Never_Really_Change
4210693,69, The_last_ones
4216837,3, Night_Owl
4195334,123, cross_pollination
4203526,123, cross_pollination
4210694,69, The_last_ones
4216838,95, Never_Really_Change
4195335,123, cross_pollination
4203527,123, cross_pollination
4210695,69, The_last_ones
4216839,3, Night_Owl
4195337,93, Never_Really_Change
4203529,113, Night_Owl
4210697,69, The_last_ones
4216841,3, Night_Owl
4195340,92, The_last_ones
4203532,92, The_last_ones
4210700,69, The_last_ones
4216844,3, Night_Owl
4195341,92, The_last_ones
4203533,92, The_last_ones
4210701,69, The_last_ones
4216845,37, The_last_ones
4195342,92, The_last_ones
4203534,92, The_last_ones
4210702,37, The_last_ones
4216846,37, The_last_ones
4195344,92, The_last_ones
4203536,92, The_last_ones
4210704,37, The_last_ones
4216848,37, The_last_ones
4195345,92, The_last_ones
4203537,92, The_last_ones
4210705,37, The_last_ones
4216849,37, The_last_ones
4195346,92, The_last_ones
4203538,92, The_last_ones
4210706,37, The_last_ones
4216850,99, The_last_ones
4195347,106, Never_Really_Change
4203539,100, Night_Owl
4210707,123, The_last_ones
4216851,3, Night_Owl
4195348,92, The_last_ones
4203540,92, The_last_ones
4210708,123, The_last_ones
4216852,119, Night_Owl
4195349,33, Never_Really_Change
4203541,100, Night_Owl
4210709,123, The_last_ones
4216853,119, Night_Owl
4195350,93, Never_Really_Change
4203542,93, Never_Really_Change
4210710,123, The_last_ones
4216854,3, Night_Owl
3146753,58, cross_pollination
3154945,123, cross_pollination
3162113,124, The_last_ones
3168257,123, cross_pollination
3162116,124, The_last_ones
3168260,123, cross_pollination
3162117,124, The_last_ones
3168261,107, Never_Really_Change
3162118,124, The_last_ones
3168262,107, Never_Really_Change
3162119,124, The_last_ones
3168263,90, Never_Really_Change
3162121,124, The_last_ones
3168265,123, cross_pollination
3162123,124, The_last_ones
3168267,106, Never_Really_Change
3162124,69, The_last_ones
3168268,18, The_last_ones
3162129,24, Never_Really_Change
3168273,18, The_last_ones
8390657,116, Never_Really_Change
8391681,61, Never_Really_Change
8398849,61, Never_Really_Change
8407041,41, The_last_ones
8390665,114, cross_pollination
8391689,113, Night_Owl
8398857,61, Never_Really_Change
